lat,long,time
23.5634833333,87.28063,15:34:38
23.563475,87.280615,15:34:39
23.5634716667,87.280615,15:34:40
23.5634716667,87.280615,15:34:41
23.5634683333,87.280615,15:34:42
23.5634633333,87.2805983333,15:34:43
23.563455,87.2805816667,15:34:44
23.5634466667,87.280565,15:34:45
23.5634316667,87.28055,15:34:46
23.5634183333,87.2805333333,15:34:47
23.5634016667,87.2805,15:34:48
23.5633866667,87.280485,15:34:49
23.5633733333,87.2804516667,15:34:50
23.5633616667,87.280435,15:34:51
23.563345,87.2804033333,15:34:52
23.563325,87.28037,15:34:53
23.563305,87.2803383333,15:34:54
23.563285,87.280305,15:34:55
23.5632633333,87.2802733333,15:34:56
23.5632433333,87.28024,15:34:57
23.5632233333,87.2802083333,15:34:58
23.5631983333,87.280175,15:34:59
23.5631833333,87.2801416667,15:35:00
23.5631616667,87.28011,15:35:01
23.5631416667,87.2800933333,15:35:02
23.563125,87.2800616667,15:35:03
23.56311,87.280045,15:35:04
23.5630966667,87.2800116667,15:35:05
23.56309,87.2799966667,15:35:06
23.5630766667,87.27998,15:35:07
23.5630683333,87.2799633333,15:35:08
23.5630566667,87.27993,15:35:09
23.563045,87.279915,15:35:10
23.5630233333,87.2798816667,15:35:11
23.5630116667,87.27985,15:35:12
23.562995,87.2798166667,15:35:13
23.5629716667,87.279785,15:35:14
23.5629433333,87.2797516667,15:35:15
23.562915,87.2797033333,15:35:16
23.5628816667,87.2796533333,15:35:17
23.5628533333,87.2795883333,15:35:18
23.56282,87.27954,15:35:19
23.5627883333,87.279475,15:35:20
23.562755,87.2794266667,15:35:21
23.5627266667,87.2793766667,15:35:22
23.5627033333,87.279345,15:35:23
23.5626816667,87.2793116667,15:35:24
23.56267,87.27928,15:35:25
23.5626583333,87.2792633333,15:35:26
23.562645,87.2792466667,15:35:27
23.5626383333,87.2792316667,15:35:28
23.5626333333,87.279215,15:35:29
23.56263,87.279215,15:35:30
23.56263,87.279215,15:35:31
23.56263,87.279215,15:35:32
23.56263,87.279215,15:35:33
23.56263,87.279215,15:35:34
23.56263,87.279215,15:35:35
23.56263,87.279215,15:35:36
23.56263,87.279215,15:35:37
23.56263,87.279215,15:35:38
23.56263,87.279215,15:35:39
23.56263,87.279215,15:35:40
23.56263,87.279215,15:35:41
23.56263,87.279215,15:35:42
23.562625,87.2791983333,15:35:43
23.5626166667,87.2791816667,15:35:44
23.5626083333,87.2791666667,15:35:45
23.5625966667,87.2791333333,15:35:46
23.56258,87.2791,15:35:47
23.56256,87.2790683333,15:35:48
23.5625433333,87.279035,15:35:49
23.56252,87.2789866667,15:35:50
23.5625,87.278955,15:35:51
23.562475,87.278905,15:35:52
23.56245,87.2788733333,15:35:53
23.5624266667,87.27884,15:35:54
23.562405,87.2787916667,15:35:55
23.5623816667,87.2787266667,15:35:56
23.5623566667,87.2786783333,15:35:57
23.5623283333,87.2786283333,15:35:58
23.5623033333,87.27858,15:35:59
23.562275,87.278515,15:36:00
23.5622466667,87.2784666667,15:36:01
23.5622216667,87.2784166667,15:36:02
23.5622066667,87.278385,15:36:03
23.5621933333,87.2783516667,15:36:04
23.56219,87.2783516667,15:36:05
23.5621866667,87.278335,15:36:06
23.5621816667,87.278335,15:36:07
23.5621733333,87.2783033333,15:36:08
23.5621616667,87.2782866667,15:36:09
23.56215,87.278255,15:36:10
23.5621333333,87.278205,15:36:11
23.5621133333,87.2781733333,15:36:12
23.5620883333,87.278125,15:36:13
23.5620633333,87.278075,15:36:14
23.562035,87.2780266667,15:36:15
23.5620116667,87.2779783333,15:36:16
23.56199,87.2779616667,15:36:17
23.561975,87.2779283333,15:36:18
23.5619583333,87.2778966667,15:36:19
23.5619383333,87.2778466667,15:36:20
23.5619216667,87.277815,15:36:21
23.561905,87.2777816667,15:36:22
23.5618883333,87.2777666667,15:36:23
23.5618766667,87.27775,15:36:24
23.561865,87.2777333333,15:36:25
23.5618516667,87.2777166667,15:36:26
23.5618516667,87.2777166667,15:36:27
23.5618483333,87.2777166667,15:36:28
23.5618483333,87.2777016667,15:36:29
23.5618516667,87.2777016667,15:36:30
23.5618516667,87.2777016667,15:36:31
23.5618483333,87.2777016667,15:36:32
23.5618483333,87.2777016667,15:36:33
23.5618433333,87.2777016667,15:36:34
23.5618433333,87.2777016667,15:36:35
23.5618366667,87.277685,15:36:36
23.5618233333,87.2776683333,15:36:37
23.5618116667,87.2776516667,15:36:38
23.561795,87.27762,15:36:39
23.561775,87.2776033333,15:36:40
23.56175,87.27757,15:36:41
23.5617266667,87.2775383333,15:36:42
23.5616983333,87.2775216667,15:36:43
23.5616616667,87.27749,15:36:44
23.561625,87.2774733333,15:36:45
23.5615833333,87.2774566667,15:36:46
23.561535,87.277425,15:36:47
23.5614816667,87.2773916667,15:36:48
23.561425,87.277375,15:36:49
23.5613633333,87.27736,15:36:50
23.561295,87.2773433333,15:36:51
23.561225,87.2773266667,15:36:52
23.561165,87.27731,15:36:53
23.5611116667,87.27731,15:36:54
23.5610716667,87.27731,15:36:55
23.561035,87.27731,15:36:56
23.5609983333,87.27731,15:36:57
23.5609616667,87.27731,15:36:58
23.5609166667,87.2772933333,15:36:59
23.5608716667,87.2772933333,15:37:00
23.5608233333,87.2772783333,15:37:01
23.5607783333,87.2772783333,15:37:02
23.5607283333,87.2772616667,15:37:03
23.560685,87.277245,15:37:04
23.560635,87.2772283333,15:37:05
23.5605983333,87.2772133333,15:37:06
23.5605616667,87.2771966667,15:37:07
23.560525,87.2771633333,15:37:08
23.5604883333,87.2771483333,15:37:09
23.5604483333,87.277115,15:37:10
23.5604033333,87.2770666667,15:37:11
23.560355,87.2770333333,15:37:12
23.5602983333,87.2770016667,15:37:13
23.5602416667,87.2769516667,15:37:14
23.5601833333,87.2769033333,15:37:15
23.5601316667,87.276855,15:37:16
23.5600816667,87.276805,15:37:17
23.5600333333,87.2767566667,15:37:18
23.5599933333,87.276725,15:37:19
23.5599433333,87.2767083333,15:37:20
23.5599116667,87.276675,15:37:21
23.5598866667,87.27666,15:37:22
23.55987,87.2766266667,15:37:23
23.5598666667,87.2766266667,15:37:24
23.55987,87.2766266667,15:37:25
23.55987,87.2766266667,15:37:26
23.55987,87.2766266667,15:37:27
23.55987,87.2766266667,15:37:28
23.55987,87.2766266667,15:37:29
23.55987,87.2766266667,15:37:30
23.55987,87.2766266667,15:37:31
23.55987,87.2766266667,15:37:32
