latitude,longitude,timestamp,total_waittime,trail_no,group,globalgroup_id
23.5643683333,87.28286,11:23:03,45,2,1,1
23.5720516667,87.2783266667,11:28:45,11,2,2,2
23.5736633333,87.2765066667,08:40:15,5,1,2,3
23.57654,87.2748633333,17:13:50,1,4,4,4
23.579585,87.2735016667,08:42:00,27,1,3,5
23.5822816667,87.2760566667,08:43:57,36,1,4,6
23.5802566667,87.2794716667,08:45:28,8,1,5,7
23.57863,87.2827216667,08:46:27,5,1,6,8
23.5827166667,87.2833166667,11:36:57,1,2,7,9
23.5845483333,87.28349,11:37:34,7,2,8,10
23.58709,87.283505,11:38:33,72,2,9,11
23.5887916667,87.2820116667,08:49:40,21,1,7,12
23.5905416667,87.28463,08:50:48,5,1,8,13
23.5863733333,87.28758,08:51:58,4,1,9,14
23.5800666667,87.28747,08:53:33,11,1,10,15
23.579295,87.291565,08:54:53,4,1,11,16
23.5749983333,87.2914766667,08:56:07,10,1,12,17
23.57411,87.2992216667,08:58:43,79,1,14,18
23.5722583333,87.3026016667,09:01:55,56,1,16,19
23.5681316667,87.2988916667,14:45:48,7,3,20,20
23.5626316667,87.2988183333,09:06:10,1,1,19,21
23.560025,87.2987883333,09:06:54,7,1,20,22
23.55665,87.2987983333,11:58:16,2,2,20,23
23.554925,87.29879,11:48:17,1,6,20,24
23.5512583333,87.2966066667,09:08:48,3,1,21,25
23.5487183333,87.3010016667,12:01:00,9,2,22,26
23.5482166667,87.3038733333,09:10:22,2,1,22,27
23.5466233333,87.3099133333,09:12:16,20,1,23,28
23.5443783333,87.3082816667,09:13:21,6,1,24,29
23.5424183333,87.3069566667,09:14:11,2,1,25,30
23.543365,87.3045983333,12:09:05,4,2,26,31
23.54464,87.3021116667,09:15:46,15,1,26,32
23.5428083333,87.3008383333,09:16:44,15,1,27,33
23.54172,87.300085,09:17:29,1,1,28,34
23.5405183333,87.2992916667,09:18:02,16,1,29,35
23.538875,87.2982166667,15:01:46,7,3,31,36
23.537525,87.2967266667,09:19:47,586,1,30,37
23.535765,87.2977166667,09:24:03,166,1,31,38
23.52818,87.3111633333,09:29:51,12,1,33,39
23.52642,87.3111866667,09:30:38,5,1,34,40
23.5189416667,87.3112833333,09:32:30,2,1,35,41
23.5036316667,87.3077566667,12:29:03,8,2,35,42
23.5003783333,87.306005,12:30:08,3,2,36,43
23.4965516667,87.3134916667,12:31:42,10,2,37,44
23.4946016667,87.3171966667,09:39:53,519,1,36,45
