lat,long,time
23.5674233333,87.2868966667,19:29:51
23.5674833333,87.286895,19:29:52
23.567545,87.28689,19:29:53
23.567605,87.286885,19:29:54
23.5676616667,87.286885,19:29:55
23.5677183333,87.2868866667,19:29:56
23.5677833333,87.2868883333,19:29:57
23.567855,87.28689,19:29:58
23.5679333333,87.2868916667,19:29:59
23.5680183333,87.2868933333,19:30:00
23.5681033333,87.2868933333,19:30:01
23.56819,87.2868933333,19:30:02
23.5682783333,87.2868933333,19:30:03
23.5683683333,87.2868933333,19:30:04
23.5684583333,87.2868933333,19:30:05
23.5685433333,87.2868933333,19:30:06
23.568625,87.28689,19:30:07
23.5687016667,87.286885,19:30:08
23.568775,87.2868833333,19:30:09
23.5688466667,87.286885,19:30:10
23.568915,87.2868916667,19:30:11
23.5689833333,87.2868983333,19:30:12
23.5690566667,87.2869016667,19:30:13
23.569135,87.2868983333,19:30:14
23.5692166667,87.2868983333,19:30:15
23.5693016667,87.2868983333,19:30:16
23.5693883333,87.2869,19:30:17
23.569475,87.2869016667,19:30:18
23.56956,87.2869066667,19:30:19
23.5696466667,87.28691,19:30:20
23.56973,87.28691,19:30:21
23.56981,87.28691,19:30:22
23.5698816667,87.2869133333,19:30:23
23.56995,87.2869183333,19:30:24
23.5700216667,87.2869183333,19:30:25
23.570095,87.2869183333,19:30:26
23.5701683333,87.286915,19:30:27
23.57024,87.28691,19:30:28
23.5703083333,87.2869083333,19:30:29
23.5703766667,87.2869133333,19:30:30
23.5704466667,87.2869183333,19:30:31
23.5705216667,87.2869216667,19:30:32
23.5706016667,87.2869216667,19:30:33
23.5706833333,87.2869183333,19:30:34
23.5707666667,87.2869183333,19:30:35
23.5708483333,87.2869216667,19:30:36
23.5709266667,87.286925,19:30:37
23.571005,87.2869266667,19:30:38
23.57108,87.2869266667,19:30:39
23.5711566667,87.2869283333,19:30:40
23.57123,87.2869283333,19:30:41
23.5713033333,87.28693,19:30:42
23.5713766667,87.2869316667,19:30:43
23.5714516667,87.28693,19:30:44
23.5715283333,87.2869283333,19:30:45
23.5716066667,87.2869216667,19:30:46
23.5716816667,87.2869133333,19:30:47
23.5717466667,87.2868983333,19:30:48
23.5718083333,87.2868716667,19:30:49
23.5718633333,87.286835,19:30:50
23.5719116667,87.2867866667,19:30:51
23.5719533333,87.2867216667,19:30:52
23.5719816667,87.286645,19:30:53
23.5719983333,87.2865583333,19:30:54
23.5720016667,87.2864633333,19:30:55
23.572,87.2863616667,19:30:56
23.5719983333,87.2862583333,19:30:57
23.5719966667,87.2861516667,19:30:58
23.5719983333,87.2860466667,19:30:59
23.5720016667,87.2859383333,19:31:00
23.5720016667,87.28583,19:31:01
23.5719983333,87.285725,19:31:02
23.5719966667,87.2856216667,19:31:03
23.5719933333,87.2855233333,19:31:04
23.57199,87.285425,19:31:05
23.57199,87.2853283333,19:31:06
23.5719933333,87.2852283333,19:31:07
23.572,87.2851233333,19:31:08
23.572015,87.2850183333,19:31:09
23.57204,87.28491,19:31:10
23.572075,87.2848016667,19:31:11
23.57211,87.2846916667,19:31:12
23.5721433333,87.28458,19:31:13
23.5721766667,87.2844666667,19:31:14
23.57221,87.284345,19:31:15
23.5722316667,87.2842166667,19:31:16
23.5722433333,87.2840883333,19:31:17
23.57225,87.28396,19:31:18
23.5722533333,87.283835,19:31:19
23.5722533333,87.2837116667,19:31:20
23.572255,87.2835916667,19:31:21
23.5722583333,87.2834766667,19:31:22
23.5722566667,87.2833683333,19:31:23
23.5722533333,87.2832716667,19:31:24
23.5722416667,87.283185,19:31:25
23.5722166667,87.2831083333,19:31:26
23.572175,87.2830433333,19:31:27
23.5721416667,87.28298,19:31:28
23.57212,87.2829183333,19:31:29
23.57212,87.2828583333,19:31:30
23.572135,87.2828033333,19:31:31
23.5721633333,87.28275,19:31:32
23.572195,87.2826916667,19:31:33
23.572225,87.2826233333,19:31:34
23.5722466667,87.2825433333,19:31:35
23.5722616667,87.2824533333,19:31:36
23.5722666667,87.282355,19:31:37
23.5722683333,87.2822516667,19:31:38
23.5722733333,87.2821416667,19:31:39
23.572275,87.28203,19:31:40
23.5722766667,87.2819133333,19:31:41
23.5722833333,87.281795,19:31:42
23.57229,87.2816766667,19:31:43
23.5722883333,87.2815566667,19:31:44
23.5722866667,87.2814333333,19:31:45
23.5722816667,87.2813083333,19:31:46
23.5722816667,87.2811783333,19:31:47
23.5722816667,87.28105,19:31:48
23.5722833333,87.280925,19:31:49
23.5722833333,87.2808016667,19:31:50
23.572285,87.280675,19:31:51
23.5722883333,87.28055,19:31:52
23.5723,87.28042,19:31:53
23.57231,87.2802916667,19:31:54
23.5723166667,87.2801633333,19:31:55
23.5723233333,87.280035,19:31:56
23.5723266667,87.279905,19:31:57
23.5723283333,87.2797733333,19:31:58
23.5723283333,87.2796416667,19:31:59
23.57233,87.27951,19:32:00
23.572335,87.2793816667,19:32:01
23.5723383333,87.2792566667,19:32:02
23.57233,87.27914,19:32:03
23.5723183333,87.27903,19:32:04
23.5722983333,87.2789283333,19:32:05
23.5722733333,87.27883,19:32:06
23.5722466667,87.27874,19:32:07
23.5722133333,87.2786616667,19:32:08
23.5721816667,87.2785933333,19:32:09
23.57215,87.27853,19:32:10
23.5721216667,87.2784783333,19:32:11
23.5721066667,87.27844,19:32:12
