lat,long,time
23.574075,87.2923883333,20:19:05
23.5740733333,87.292485,20:19:06
23.5740733333,87.2925783333,20:19:07
23.5740716667,87.2926616667,20:19:08
23.5740683333,87.292735,20:19:09
23.574065,87.2928066667,20:19:10
23.574065,87.2928833333,20:19:11
23.5740666667,87.29296,20:19:12
23.574065,87.2930383333,20:19:13
23.5740616667,87.293115,20:19:14
23.57406,87.29319,20:19:15
23.5740616667,87.2932683333,20:19:16
23.5740616667,87.2933466667,20:19:17
23.5740583333,87.293425,20:19:18
23.5740566667,87.2935033333,20:19:19
23.5740533333,87.2935833333,20:19:20
23.5740533333,87.2936683333,20:19:21
23.5740566667,87.2937566667,20:19:22
23.57406,87.293845,20:19:23
23.5740616667,87.29393,20:19:24
23.57406,87.2940166667,20:19:25
23.5740616667,87.2941066667,20:19:26
23.5740616667,87.2941983333,20:19:27
23.5740616667,87.29429,20:19:28
23.57406,87.2943833333,20:19:29
23.57406,87.2944783333,20:19:30
23.5740616667,87.2945766667,20:19:31
23.5740633333,87.2946733333,20:19:32
23.5740716667,87.2947683333,20:19:33
23.5740816667,87.2948616667,20:19:34
23.5740933333,87.2949516667,20:19:35
23.5741066667,87.2950433333,20:19:36
23.5741216667,87.2951316667,20:19:37
23.57414,87.295215,20:19:38
23.5741683333,87.2952916667,20:19:39
23.5741933333,87.2953616667,20:19:40
23.5742116667,87.29543,20:19:41
23.5742183333,87.295495,20:19:42
23.574215,87.2955566667,20:19:43
23.5742033333,87.2956116667,20:19:44
23.5741866667,87.2956583333,20:19:45
23.5741716667,87.2956933333,20:19:46
23.57416,87.295715,20:19:47
23.5741566667,87.2957216667,20:19:48
23.5741566667,87.29572,20:19:49
23.5741566667,87.2957183333,20:19:50
23.5741583333,87.2957183333,20:19:51
23.5741583333,87.2957183333,20:19:52
23.5741566667,87.2957183333,20:19:53
23.5741566667,87.2957183333,20:19:54
23.5741566667,87.2957183333,20:19:55
23.5741533333,87.2957266667,20:19:56
23.5741433333,87.2957516667,20:19:57
